country,country_code,year,health_expenditure_ppp,gdp_per_capita_ppp,gini,life_expectancy,log_gdp_per_capita,income_group
Turks and Caicos Islands,TCA,2024,,37954.3876543471,,,10.544140392856017,Upper-middle income
Uganda,UGA,2024,,3273.2671741364,,,8.093543900908854,Low income
Ukraine,UKR,2024,,18550.462890625,,,9.82825002139675,Upper-middle income
United Arab Emirates,ARE,2024,,79228.738801276,,,11.2800943756359,High income
United Kingdom,GBR,2024,6605.75253933223,62009.4907765366,,,11.035042729353046,High income
United States,USA,2024,,85809.9003846359,,,11.359889667917564,High income
Upper middle income,UMC,2024,,24934.5551722501,,,10.12400987832842,Upper-middle income
Uruguay,URY,2024,,36417.874162496,40.0,,10.502814981520231,Upper-middle income
Uzbekistan,UZB,2024,,11878.5528706848,34.6,,9.382489773265004,Lower-middle income
Vanuatu,VUT,2024,,3605.60736691735,,,8.19024551456199,Low income
Viet Nam,VNM,2024,,16385.5065565458,,,9.704152476525996,Upper-middle income
West Bank and Gaza,PSE,2024,,4371.11135857265,,,8.382772571219789,Low income
World,WLD,2024,,24526.0119989325,,,10.107489547555012,Upper-middle income
Zambia,ZMB,2024,,4214.89277804799,,,8.34637943192687,Low income
Zimbabwe,ZWE,2024,,5928.0806252756,,,8.687455767638427,Lower-middle income
